DEPT,GR,RT,RHO,NPHI
2328.37,76.246,2.6118,2.0774,0.3665
2328.8058,80.2805,2.7267,2.0894,0.4221
2329.2416,81.6508,2.756,2.0872,0.41
2329.6774,82.3126,2.7885,2.0755,0.4046
2330.1132,82.4142,2.8483,2.0589,0.4029
2330.549,81.527,2.9121,2.0417,0.4059
2330.9848,79.9721,2.9698,2.0321,0.4107
2331.4206,78.5124,3.0289,2.0457,0.4043
2331.8564,77.451,3.091,2.0581,0.4062
2332.2922,77.6885,3.1739,2.0691,0.4207
2332.728,79.4235,3.271,2.0809,0.4353
2333.1638,80.6545,3.3658,2.0941,0.4532
2333.5996,81.5803,3.4494,2.1079,0.4692
2334.0354,82.9369,3.5128,2.1243,0.4901
2334.4712,84.7242,3.5367,2.1439,0.4875
2334.907,86.0258,3.5075,2.1578,0.4518
2335.3428,86.4893,3.3737,2.1528,0.4256
2335.7786,86.4775,3.2684,2.1515,0.4312
2336.2144,88.2291,3.2053,2.1582,0.4649
2336.6502,90.1436,3.211,2.166,0.4878
2337.086,91.6792,3.2633,2.1631,0.4795
2337.5218,91.8072,3.3497,2.1582,0.4472
2337.9576,91.5721,3.4614,2.1538,0.4218
2338.3934,91.07,3.5977,2.1501,0.404
2338.8292,90.4939,3.7386,2.1463,0.3889
2339.265,90.6498,3.8751,2.1443,0.389
2339.7008,90.5934,3.9756,2.1629,0.3961
2340.1366,89.9478,4.0683,2.1796,0.4068
2340.5724,88.7146,4.1527,2.2007,0.4104
2341.0082,89.3951,4.2538,2.2169,0.3934
2341.444,90.8518,4.3532,2.214,0.3749
2341.8798,92.291,4.4288,2.2006,0.3583
2342.3156,93.7058,4.4809,2.1886,0.3452
2342.7514,94.864,4.4771,2.1771,0.3339
2343.1872,95.5627,4.4255,2.1659,0.3242
2343.623,94.8692,4.3703,2.1678,0.316
2344.0588,87.0716,4.3162,2.1751,0.3172
2344.4946,82.12,4.2908,2.1824,0.3257
2344.9304,82.8252,4.2888,2.1813,0.3361
2345.3662,83.6045,4.3394,2.1795,0.3449
2345.802,83.0874,4.3667,2.1768,0.3429
2346.2378,82.8785,4.39,2.1732,0.3412
2346.6736,83.4018,4.403,2.1696,0.3443
2347.1094,84.7804,4.43,2.1677,0.3485
2347.5452,85.8327,4.4429,2.1668,0.3432
2347.981,85.3148,4.4451,2.1667,0.3354
2348.4168,83.632,4.4429,2.1676,0.3286
2348.8526,81.973,4.4173,2.1701,0.3226
2349.2884,81.2484,4.368,2.1746,0.3282
2349.7242,81.3204,4.2929,2.1816,0.3246
2350.16,82.1024,4.221,2.1875,0.3159
2350.5958,84.0208,4.16,2.1895,0.3177
2351.0316,86.8779,4.1123,2.1882,0.326
2351.4674,88.2692,4.0965,2.1867,0.3362
2351.9032,88.8692,4.1017,2.1874,0.3451
2352.339,89.4026,4.1313,2.1895,0.3425
2352.7748,90.6018,4.196,2.1898,0.3359
2353.2106,91.9299,4.2781,2.1848,0.3312
2353.6464,92.6832,4.3578,2.1724,0.3376
2354.0822,92.8129,4.434,2.1759,0.3457
2354.518,91.577,4.5126,2.1806,0.3435
2354.9538,88.8561,4.5971,2.1836,0.3432
2355.3896,88.5289,4.6726,2.185,0.3473
2355.8254,90.1633,4.7367,2.1853,0.3521
2356.2612,91.9979,4.7421,2.184,0.3563
2356.697,90.9331,4.7237,2.1817,0.3595
2357.1328,89.5843,4.697,2.1806,0.3523
2357.5686,88.2678,4.6611,2.1852,0.3382
2358.0044,86.8565,4.6118,2.192,0.326
2358.4402,85.5429,4.5557,2.1954,0.3232
2358.876,85.7636,4.4907,2.1953,0.3254
2359.3118,87.6601,4.4379,2.1939,0.3276
2359.7476,90.0025,4.3925,2.1906,0.3227
2360.1834,92.8214,4.3478,2.1864,0.323
2360.6192,95.0587,4.3082,2.1834,0.3289
2361.055,95.8574,4.2686,2.1879,0.3358
2361.4908,95.9298,4.2274,2.1935,0.3443
2361.9266,95.8585,4.1864,2.1999,0.3528
2362.3624,95.8902,4.161,2.2054,0.3495
2362.7982,96.309,4.1572,2.2074,0.3533
2363.234,97.202,4.1622,2.2079,0.3615
2363.6698,98.2381,4.2397,2.2076,0.3735
2364.1056,98.9052,4.3214,2.2099,0.3788
2364.5414,98.924,4.432,2.2152,0.3831
2364.9772,98.2824,4.5614,2.2198,0.388
2365.413,96.6764,4.7026,2.222,0.3806
2365.8488,94.6242,4.9013,2.2096,0.3612
2366.2846,91.9298,5.2429,2.197,0.3247
2366.7204,88.2497,5.6972,2.1858,0.3048
2367.1562,84.5225,6.1727,2.1712,0.295
2367.592,80.9071,6.9185,2.1667,0.2931
2368.0278,77.2335,7.7054,2.1647,0.3042
2368.4636,71.8922,8.8658,2.1534,0.3169
2368.8994,66.0797,9.8178,2.1347,0.3091
2369.3352,60.1925,10.3619,2.1127,0.2673
2369.771,55.959,10.6872,2.0898,0.2453
2370.2068,53.6924,10.2852,2.0697,0.2334
2370.6426,53.5073,9.8789,2.0577,0.2454
2371.0784,54.867,9.4178,2.0719,0.2782
2371.5142,55.8335,9.0575,2.0937,0.2792
2371.95,56.2352,8.9954,2.115,0.2723
2372.3858,56.015,9.245,2.1266,0.2637
2372.8216,54.259,9.7685,2.1307,0.2533
2373.2574,51.6711,10.5353,2.1272,0.2573
2373.6932,49.1359,11.3201,2.1155,0.2667
2374.129,46.8786,11.9643,2.109,0.2786
2374.5648,44.7645,12.3642,2.1049,0.2853
2375.0006,46.8287,12.6073,2.1048,0.2817
2375.4364,50.4175,12.6961,2.1104,0.2746
2375.8722,52.8694,12.5618,2.1036,0.2651
2376.308,53.9151,11.9047,2.0962,0.278
2376.7438,52.3661,11.2163,2.0881,0.2882
2377.1796,50.4341,10.6135,2.0789,0.2975
2377.6154,49.9269,10.079,2.0733,0.3063
2378.0512,50.8568,9.672,2.0713,0.3039
2378.487,51.6408,9.4115,2.074,0.2973
2378.9228,51.7055,9.3756,2.0886,0.3014
2379.3586,52.2542,9.4552,2.0971,0.3048
2379.7944,53.5694,9.5341,2.0983,0.3042
2380.2302,56.7176,9.5822,2.0977,0.3002
2380.666,63.1658,9.5863,2.098,0.2954
2381.1018,69.0896,9.6303,2.1044,0.2988
2381.5376,76.0547,9.694,2.1121,0.3139
2381.9734,81.194,9.7517,2.1141,0.3272
2382.4092,84.1991,9.8129,2.1137,0.3148
2382.845,86.5388,9.8654,2.1073,0.2958
2383.2808,87.8692,9.8774,2.0976,0.2888
2383.7166,87.6303,9.8801,2.0865,0.2932
2384.1524,84.065,9.8777,2.0744,0.2985
2384.5882,80.5105,9.7842,2.0833,0.3073
2385.024,80.6214,9.6551,2.0978,0.3197
2385.4598,82.2096,9.5006,2.1142,0.3335
2385.8956,86.4087,9.3914,2.1277,0.3481
2386.3314,90.7278,9.2903,2.1346,0.3409
2386.7672,95.6631,9.2587,2.1334,0.3327
2387.203,98.0816,9.2874,2.1262,0.3235
2387.6388,97.8705,9.3298,2.1192,0.3169
2388.0746,96.7599,9.3768,2.1116,0.3188
2388.5104,95.8878,9.3934,2.1053,0.3251
2388.9462,95.6559,9.4176,2.1259,0.3329
2389.382,95.8324,9.4564,2.1421,0.3405
2389.8178,96.4312,9.5407,2.1203,0.3512
2390.2536,98.0095,9.6197,2.0918,0.3608
2390.6894,99.8672,9.6841,2.0732,0.3593
2391.1252,101.4458,9.6933,2.0552,0.3548
2391.561,102.1549,9.6789,2.0413,0.3486
2391.9968,102.4243,9.6526,2.027,0.3413
2392.4326,102.1144,9.6123,2.0252,0.3423
2392.8684,102.0882,9.5555,2.044,0.3486
2393.3042,103.5217,9.4821,2.0889,0.3574
2393.74,104.1977,9.4258,2.1193,0.3677
2394.1758,104.3476,9.3867,2.124,0.3798
2394.6116,102.2497,9.3782,2.1125,0.3899
2395.0474,98.3651,9.3713,2.1009,0.3787
2395.4832,94.5675,9.3653,2.1137,0.3677
2395.919,91.5708,9.3597,2.124,0.3685
2396.3548,89.1342,9.3542,2.1187,0.3778
2396.7906,87.8926,9.3801,2.1121,0.3871
2397.2264,88.5051,9.4365,2.1102,0.3929
2397.6622,90.7046,9.4934,2.1114,0.3874
2398.098,92.3721,9.5367,2.1106,0.3829
2398.5338,93.5051,9.5767,2.1086,0.3762
2398.9696,95.3274,9.618,2.1035,0.3692
2399.4054,97.7508,9.66,2.0969,0.3596
2399.8412,101.8086,9.7027,2.0907,0.3355
2400.277,103.4299,9.7388,2.0863,0.3428
2400.7128,100.127,9.7921,2.0923,0.352
2401.1486,97.0227,9.85,2.1062,0.3639
2401.5844,94.7892,9.8797,2.1179,0.378
2402.0202,94.2612,9.9245,2.127,0.3861
2402.456,101.4644,10.014,2.1355,0.3797
2402.8918,107.7803,10.1204,2.1418,0.3775
2403.3276,111.7031,10.266,2.1398,0.3893
2403.7634,111.996,10.4074,2.1322,0.4103
2404.1992,111.2706,10.5868,2.1362,0.4229
2404.635,109.1324,10.8342,2.1394,0.4243
2405.0708,105.4871,11.0862,2.1374,0.4171
2405.5066,101.6504,11.3738,2.1239,0.4095
2405.9424,96.7516,11.6949,2.1078,0.4012
2406.3782,92.6955,12.0483,2.0934,0.3885
2406.814,91.162,12.409,2.0792,0.3656
2407.2498,91.9009,12.8463,2.0668,0.3313
2407.6856,93.1605,13.3282,2.0606,0.3379
2408.1214,94.6313,13.7957,2.0522,0.3513
2408.5572,96.2359,14.3196,2.0408,0.3644
2408.993,98.0545,14.8437,2.0289,0.3777
2409.4288,100.6159,15.3774,2.0214,0.3915
2409.8646,103.2528,15.9098,2.0261,0.3995
2410.3004,105.8145,16.3333,2.0318,0.3897
2410.7362,108.5055,16.6803,2.0353,0.3757
2411.172,109.5323,16.946,2.0327,0.3626
2411.6078,109.0215,17.2055,2.0302,0.3524
2412.0436,106.9464,17.5492,2.0285,0.3433
2412.4794,103.1886,18.0127,2.03,0.335
2412.9152,92.729,18.585,2.0386,0.3559
2413.351,82.684,20.7125,2.0506,0.3765
2413.7868,75.0154,21.6104,2.0465,0.401
2414.2226,67.3033,21.5525,2.0431,0.4515
2414.6584,59.6468,20.3608,2.0423,0.4452
2415.0942,53.8362,18.4036,2.0462,0.4292
2415.53,52.3425,17.1384,2.054,0.4105
2415.9658,55.0254,16.047,2.0613,0.39
2416.4016,56.5117,15.0921,2.0471,0.3713
2416.8374,58.2856,14.2961,2.0357,0.3663
2417.2732,60.4513,13.5365,2.0274,0.3782
2417.709,63.5407,12.8415,2.0396,0.3974
2418.1448,68.3086,12.1993,2.0544,0.414
2418.5806,74.2871,11.4723,2.0704,0.41
2419.0164,79.3084,11.0973,2.0837,0.3972
2419.4522,81.8606,11.4109,2.0802,0.3776
2419.888,82.5259,11.9333,2.0756,0.3665
2420.3238,82.7559,12.5043,2.0709,0.3633
2420.7596,82.1808,13.1047,2.0658,0.3583
2421.1954,81.1363,13.6681,2.0614,0.3466
2421.6312,78.1533,14.2096,2.0574,0.3236
2422.067,75.9089,14.5013,2.0666,0.308
2422.5028,74.7474,14.59,2.0784,0.314
2422.9386,73.6664,14.6046,2.0878,0.3098
2423.3744,73.8678,14.6203,2.0791,0.3006
2423.8102,78.39,14.6472,2.0653,0.3165
2424.246,83.3163,14.6595,2.0517,0.334
2424.6818,77.3043,14.6377,2.0386,0.3498
2425.1176,73.3763,14.5746,2.0299,0.339
2425.5534,70.3905,14.4018,2.0253,0.326
2425.9892,68.8425,14.175,2.0241,0.3186
2426.425,68.2019,13.9218,2.0297,0.3284
2426.8608,69.053,13.6881,2.0316,0.3366
2427.2966,70.9497,13.5528,2.0318,0.3428
2427.7324,73.3119,13.5287,2.0504,0.3449
2428.1682,75.5894,13.8535,2.0677,0.3468
2428.604,79.1958,14.3486,2.0844,0.3509
2429.0398,87.8371,14.9421,2.1005,0.3563
2429.4756,97.3584,15.5369,2.1158,0.3643
2429.9114,104.4648,16.1024,2.1286,0.3778
2430.3472,110.7646,16.5625,2.142,0.3936
2430.783,99.4871,16.8931,2.1486,0.3888
2431.2188,90.6356,17.2821,2.1506,0.3718
2431.6546,83.253,17.6782,2.1486,0.3499
2432.0904,72.1198,17.9807,2.1471,0.326
2432.5262,51.6611,17.4058,2.1583,0.3072
2432.962,39.2763,16.2619,2.1641,0.2908
2433.3978,35.5956,15.5611,2.1596,0.2735
2433.8336,34.1699,15.4989,2.154,0.2592
2434.2694,34.6556,15.8798,2.1475,0.2428
2434.7052,38.431,16.5532,2.1388,0.2382
2435.141,43.7517,17.2987,2.1271,0.2465
2435.5768,51.7429,17.9032,2.1142,0.2685
2436.0126,63.3614,18.3465,2.1007,0.298
2436.4484,61.0257,21.584,2.1179,0.3149
2436.8842,55.5152,22.9433,2.1296,0.3065
2437.32,51.0577,24.2608,2.1199,0.298
2437.7558,47.7008,25.3294,2.1087,0.2921
2438.1916,46.2633,25.8743,2.1001,0.294
2438.6274,47.1713,26.1078,2.1132,0.3064
2439.0632,47.8243,26.1407,2.1117,0.3089
2439.499,47.4846,25.7883,2.0998,0.3123
2439.9348,46.8234,25.1154,2.0883,0.3222
2440.3706,45.6697,24.3487,2.1003,0.3308
2440.8064,44.0106,23.4448,2.1219,0.3382
2441.2422,41.5659,22.5541,2.1548,0.323
2441.678,39.1854,21.8123,2.1479,0.2904
2442.1138,36.7677,21.2486,2.1409,0.2712
2442.5496,34.2951,20.3855,2.1342,0.2739
2442.9854,32.3095,19.2672,2.13,0.279
2443.4212,30.9622,17.3162,2.1283,0.2811
2443.857,30.1183,15.5733,2.1318,0.2748
2444.2928,29.8104,13.813,2.1306,0.2686
2444.7286,30.1935,12.2941,2.1231,0.2631
2445.1644,32.0244,11.2588,2.1195,0.2578
2445.6002,32.4896,10.9633,2.1279,0.254
2446.036,32.2082,10.9459,2.1349,0.253
2446.4718,33.5941,11.0517,2.1331,0.2515
2446.9076,37.3782,11.433,2.1264,0.2499
2447.3434,41.7868,12.0592,2.1177,0.276
2447.7792,46.0483,13.0399,2.1236,0.2911
2448.215,45.4446,14.4665,2.1311,0.3001
2448.6508,41.6922,16.4366,2.1357,0.2797
2449.0866,37.4531,18.0508,2.1294,0.264
2449.5224,33.1252,17.1824,2.1234,0.2628
2449.9582,31.0969,15.5613,2.1172,0.2733
2450.394,30.2784,13.6808,2.1134,0.286
2450.8298,30.4806,12.329,2.1096,0.2968
2451.2656,31.9753,12.7394,2.1155,0.2911
2451.7014,34.4321,13.0321,2.1251,0.2844
2452.1372,38.5632,13.4184,2.1284,0.2782
