DEPT,GR,RT,RHO,NPHI
3085.167,,,,
3085.59254,57.3344,,1.8143,0.5542
3086.01806,58.374,,1.8208,0.547
3086.44356,60.0375,,1.8254,0.5396
3086.8690399999996,61.3585,,1.8271,0.5407
3087.2944999999995,61.8387,,1.8199,0.5567
3087.71994,61.5729,,1.8075,0.5723
3088.14536,61.0237,,1.797,0.5868
3088.57076,60.3109,,1.7989,0.5939
3088.99614,59.5442,,1.8114,0.5954
3089.4215,59.1065,,1.8256,0.5883
3089.8468399999997,59.0987,,1.8378,0.574
3090.27216,59.918,,1.8468,0.5583
3090.69746,60.9498,,1.8522,0.5477
3091.1227400000002,61.9387,,1.8484,0.5398
3091.548,62.8644,,1.8407,0.5339
3091.97324,63.645,,1.8402,0.5315
3092.39846,64.012,,1.8438,0.5317
3092.82366,64.259,,1.8456,0.5386
3093.24884,64.3097,,1.8441,0.5436
3093.6739999999995,64.1299,,1.8454,0.5414
3094.09914,64.027,,1.8563,0.5424
3094.5242599999997,64.0698,,1.8713,0.5515
3094.94936,64.6093,,1.8858,0.5712
3095.37444,65.3205,,1.8976,0.5948
3095.7994999999996,65.5605,,1.9054,0.5957
3096.2245399999997,65.6683,,1.9004,0.5817
3096.64956,65.4175,,1.9056,0.5364
3097.07456,64.8416,,1.9176,0.4935
3097.4995400000003,63.5276,,1.9186,0.5165
3097.9245,62.1455,,1.9102,0.5487
3098.3494399999995,61.5165,,1.9105,0.573
3098.77436,61.3077,,1.9236,0.586
3099.19926,61.2367,,1.9446,0.5871
3099.62414,61.2405,,1.977,0.5798
3100.049,60.5086,,2.0152,0.5716
3100.4738399999997,59.5266,,2.0509,0.5636
3100.89866,58.7758,,2.0657,0.5574
3101.32346,58.4188,,2.009,0.5567
3101.74824,59.2645,,1.9603,0.5622
3102.1730000000002,61.4423,,1.898,0.5684
3102.5977399999997,62.1585,,1.8385,0.5693
3103.0224599999997,62.5792,,1.8079,0.5543
3103.4471599999997,62.7649,,1.7911,0.5393
3103.87184,62.843,,1.7877,0.5362
3104.2965,62.8508,,1.7904,0.5431
3104.7211399999997,62.7364,,1.7916,0.5539
3105.14576,62.2783,,1.786,0.5659
3105.5703599999997,61.3149,,1.7765,0.5758
3105.99494,59.5866,,1.7646,0.5817
3106.4195,58.0102,,1.752,0.5818
3106.84404,57.7603,,1.7379,0.5774
3107.26856,58.9882,,1.7191,0.5695
3107.69306,59.4132,,1.6988,0.5589
3108.1175399999997,58.954,,1.682,0.5497
3108.542,58.4397,,1.6589,0.5443
3108.96644,58.747,,1.5732,0.5448
3109.39086,59.8341,,1.5479,0.5481
3109.81526,60.5146,,1.5347,0.556
3110.23964,60.7264,,1.5224,0.5622
3110.664,60.6392,,1.5091,0.5633
3111.0883400000002,60.3037,,1.4956,0.5597
3111.51266,59.9189,,1.4887,0.5537
3111.9369599999995,59.486,,1.4858,0.5476
3112.3612399999997,59.0813,,1.5018,0.5427
3112.7855,58.7048,,1.5265,0.5402
3113.2097400000002,58.5857,,1.5571,0.5396
3113.6339599999997,58.5401,,1.5446,0.533
3114.0581599999996,58.5439,,1.4948,0.5207
3114.48234,58.8125,,1.4538,0.5081
3114.9065,59.1885,,1.467,0.5221
3115.33064,58.2044,,1.4994,0.5384
3115.7547600000003,59.1469,,1.5405,0.5587
3116.1788599999995,60.6132,,1.7051,0.5703
3116.6029399999998,61.4376,,1.7442,0.578
3117.027,61.1436,,1.7692,0.5876
3117.45104,60.5467,,1.783,0.5948
3117.87506,60.6736,,1.7851,0.5843
3118.29906,61.5473,,1.7757,0.5719
3118.72304,61.8099,,1.7624,0.5599
3119.147,61.7891,,1.7492,0.5509
3119.57094,61.2674,,1.7432,0.5473
3119.9948600000002,60.5575,,1.7469,0.55
3120.4187599999996,60.1469,,1.7543,0.5408
3120.84264,60.0403,,1.7635,0.5165
3121.2664999999997,60.2637,,1.7755,0.5025
3121.69034,60.6549,,1.7728,0.497
3122.11416,61.3787,,1.7664,0.5003
3122.5379599999997,62.0785,,1.7396,0.5097
3122.9617399999997,62.2079,,1.7233,0.524
3123.3855,61.8895,,1.7268,0.5401
3123.80924,61.3871,,1.7444,0.5505
3124.23296,61.3592,,1.7683,0.5547
3124.65666,61.7169,,1.7839,0.5552
3125.08034,62.3873,,1.7873,0.5578
3125.504,63.0679,,1.7886,0.5615
3125.92764,63.5369,,1.7944,0.5657
3126.35126,63.7191,,1.8072,0.5598
3126.77486,63.4961,,1.8258,0.5381
3127.1984399999997,63.3337,,1.8484,0.519
3127.622,63.1071,,1.8714,0.5089
3128.04554,62.8615,,1.8822,0.5183
3128.46906,62.657,,1.8806,0.5376
3128.8925600000002,62.5098,,1.8745,0.5608
3129.3160399999997,62.6068,,1.8695,0.578
3129.7394999999997,63.9521,,1.8687,0.5864
