DEPT,GR,RT,RHO,NPHI
4278.1539999999995,89.9229,3.8495,2.1697,0.43
4278.414140000001,93.8694,1.6556,2.1365,0.44
4278.674260000001,93.0442,0.7741,2.1035,0.44
4278.93436,90.7901,1.0109,2.0706,0.44
4279.19444,89.1242,1.3582,2.0391,0.43
4279.454500000001,88.121,1.6477,2.028,0.42
4279.71454,88.0233,1.894,2.0341,0.42
4279.974560000001,86.0832,1.7486,2.0596,0.43
4280.234560000001,85.1078,1.5219,2.0885,0.44
4280.494540000001,86.0962,1.3884,2.1158,0.44
4280.7545,87.872,1.3688,2.1404,0.44
4281.014440000001,89.1249,1.3681,2.1648,0.43
4281.27436,90.7904,1.3731,2.1889,0.45
4281.53426,93.241,1.3956,2.2063,0.46
4281.794140000001,93.6834,1.4392,2.2242,0.47
4282.054,90.0766,1.4491,2.2304,0.47
4282.31384,85.3137,1.4445,2.2254,0.47
4282.573660000001,81.2123,1.4376,2.2178,0.46
4282.833460000001,80.996,1.4308,2.2161,0.45
4283.09324,82.8774,1.4289,2.2143,0.43
4283.353,84.0202,1.4478,2.2162,0.42
4283.6127400000005,81.8132,1.4801,2.2202,0.43
4283.8724600000005,79.6039,1.509,2.229,0.44
4284.13216,79.3146,1.5317,2.236,0.45
4284.391840000001,81.1082,1.5309,2.2362,0.45
4284.651500000001,82.903,1.5484,2.2293,0.45
4284.91114,83.7814,1.5544,2.222,0.43
4285.170760000001,83.7658,1.5654,2.2214,0.39
4285.43036,82.5088,1.5658,2.2244,0.36
4285.68994,81.6062,1.5825,2.2314,0.38
4285.949500000001,82.2674,1.5817,2.2371,0.4
4286.209040000001,84.6598,1.574,2.2455,0.41
4286.46856,86.8639,1.5628,2.2512,0.4
4286.72806,88.8439,1.5793,2.2543,0.38
4286.987540000001,89.6545,1.5784,2.2537,0.39
4287.247,88.7029,1.5776,2.2504,0.39
4287.50644,87.5689,1.5767,2.247,0.39
4287.76586,86.0075,1.5759,2.2424,0.38
4288.02526,83.3921,1.5751,2.2419,0.38
4288.28464,81.4886,1.5742,2.2418,0.37
4288.544000000001,83.4338,1.5734,2.2417,0.38
4288.80334,85.5402,1.5726,2.2417,0.41
4289.0626600000005,85.9818,1.5718,2.2417,0.43
4289.32196,83.1046,1.5769,2.2329,0.44
4289.58124,81.3054,1.5879,2.2212,0.44
4289.8405,81.4427,1.5882,2.2199,0.43
4290.099740000001,80.7971,1.5874,2.2427,0.41
4290.3589600000005,78.2404,1.5865,2.2649,0.39
4290.618160000001,76.0538,1.5856,2.2747,0.39
4290.87734,76.8944,1.5848,2.2666,0.4
4291.1365000000005,80.5544,1.5903,2.2539,0.42
4291.395640000001,83.7002,1.5957,2.2425,0.44
4291.65476,86.6927,1.6012,2.2278,0.43
4291.91386,89.9136,1.6067,2.2244,0.41
4292.17294,95.6953,1.6122,2.2225,0.39
4292.432,100.6785,1.6177,2.2202,0.39
4292.69104,101.7816,1.6167,2.2196,0.4
4292.95006,99.6528,1.5972,2.227,0.41
4293.20906,97.8238,1.5964,2.2365,0.42
4293.468040000001,96.1197,1.6061,2.241,0.41
4293.727000000001,94.4484,1.614,2.2408,0.4
4293.9859400000005,92.7039,1.6131,2.2403,0.39
4294.24486,91.4742,1.6199,2.2443,0.4
4294.5037600000005,92.6969,1.6323,2.2549,0.41
4294.762640000001,95.5699,1.6519,2.265,0.4
4295.0215,98.9515,1.6519,2.2705,0.37
4295.28034,99.0965,1.6718,2.2712,0.37
4295.539160000001,95.7588,1.6811,2.2677,0.37
4295.797960000001,92.0655,1.6722,2.264,0.38
4296.05674,91.6817,1.6919,2.2549,0.38
4296.315500000001,95.5802,1.7063,2.2532,0.37
4296.574240000001,100.0161,1.6933,2.2573,0.38
4296.832960000001,101.676,1.692,2.2673,0.39
4297.091660000001,102.4258,1.6919,2.2732,0.39
4297.350340000001,102.7855,1.6901,2.2716,0.37
4297.609,101.7957,1.6884,2.2713,0.37
4297.8676399999995,100.0254,1.7067,2.2739,0.38
4298.126260000001,97.0916,1.705,2.2863,0.39
4298.38486,94.1579,1.7032,2.2966,0.38
4298.64344,92.5633,1.7015,2.3001,0.37
4298.902000000001,93.5262,1.6997,2.2969,0.36
4299.160540000001,96.6311,1.6979,2.2952,0.36
4299.41906,101.1956,1.6966,2.3,0.35
4299.677560000001,103.3241,1.6966,2.3103,0.36
4299.9360400000005,103.0103,1.7165,2.3116,0.37
4300.1945000000005,103.3103,1.7164,2.3085,0.37
4300.45294,105.4355,1.7164,2.3,0.36
4300.71136,105.7559,1.7163,2.2885,0.35
4300.969760000001,103.3362,1.7162,2.2811,0.34
4301.22814,96.948,1.7161,2.275,0.33
4301.486500000001,93.4765,1.716,2.2736,0.33
4301.74484,92.464,1.7159,2.2734,0.33
4302.00316,91.5632,1.7158,2.2747,0.33
4302.261460000001,89.9695,1.7158,2.2761,0.33
4302.519740000001,89.5462,1.7157,2.2787,0.33
4302.778,88.3417,1.7439,2.2825,0.32
4303.03624,87.5273,1.7807,2.286,0.32
4303.29446,85.6013,1.7984,2.2866,0.31
4303.55266,86.0592,1.7983,2.2827,0.31
4303.81084,88.1182,1.7771,2.2771,0.32
4304.069,89.6246,1.7771,2.273,0.33
4304.32714,90.5751,1.777,2.2714,0.33
4304.58526,91.845,1.7769,2.267,0.33
4304.843360000001,93.5841,1.7706,2.2626,0.33
4305.10144,94.1567,1.7628,2.2563,0.35
4305.3595000000005,95.1178,1.755,2.2536,0.38
