,AK-1,AK-2,AK-3,AK-4,AK-5,AK-6,AK-7,AK-8ST2,AK-9,AK-10,AK-11,AK-12,AK-13,AK-14,AK-15P
GUT,4838,5114,,5014,5063,5136,,5081,5088,,,,,,5017
GDT,5031,,,5105,,,,,,,,,,,
GOC,,5168,5121,,5168,5156,,5165,5165,,,,,,5183
OUT,,,5197,,,,,,,,,,,,
ODT,,5198,,,,5188,,,,,,,,,
OWC,,5201,,,5201,5189,,5198,5198,,,,,,5210
WUT,,5204,,,,,,,,,5123,5440,5414,,
WDT,,5312,,,5262,,,5255,5289,,5270,5650,5502,,5221
GUT,,,5121,5141,,,,,,,,,,,
GDT,,,,,,,,,,,,,,,
GOC,5088,,5164,5166,,,,,,,,,,,
OUT,,,,,,,,,,,,,,,
ODT,,,,,,,,,,,,,,,
OWC,5121,,5197,5199,,,,,,,,,,,
WUT,,5348,,,5297,5218,,,5330,,5293,5712,5552,5182,5256
WDT,5142,5419,5219,5216,5385,5296,,,5413,,5342,5815,5644,5219,5359
GUT,,,,,,,5503,,,5237,,,,,
GDT,,,,,,,,,,,,,,,
GOC,,,,,,,5530,,,5259,,,,,
OUT,5184,,5258,5258,,5320,,,,,,,,5262,
ODT,,,,,,,,,,5346,,,,,
OWC,5274,,5350,5352,,5344,5539,,,5347,,,,5333,
WUT,,5463,,,5426,,,,5447,5350,5359,5865,5705,,5392
WDT,5317,5605,5415,5386,5589,5438,5591,,5599,5384,5450,6001,5830,5371,5484
